features  importance
429                       user_action3_page4_ratio    0.002968
430                       user_page4_action2_ratio    0.002309
431                       user_page2_action3_ratio    0.002035
432                       user_action2_page4_ratio    0.001636
433                       user_action3_page2_ratio    0.001448
434                       user_action2_page1_ratio    0.000701
435                       user_action5_page0_ratio    0.000651
436                       user_page4_action3_ratio    0.000549
437                       user_page1_action5_ratio    0.000372
438                       user_page0_action5_ratio    0.000140
