,user_id,register_day,register_type,device_type
user_page_num,1.1043129028217502
register_type_device,1.0122327968582565
user_action_type_num,0.5102354187883832
device_type_register,0.33127338652600086
user_video_create_day,0.3252955720417885
user_video_create_register_mean_time,0.19321156884539908
user_video_create_rate,0.05403614738888103
user_video_create_gap,0.04591499406582495
user_author_id_video_num,0.007515788831008971
feature importance of catboost for tencent-crt,2018-06-02_18-52
user_app_launch_register_max_time_global,4840
register_day_rate,4755
user_app_launch_var_global,3883
user_app_launch_rate_global,3280
user_app_launch_register_max_time,2524
user_app_launch_gap_global,2265
user_app_launch_rate,2248
device_type_rate,1992
user_activity_var_global,1783
user_app_launch_register_mean_time,1635
user_app_launch_var,1214
user_app_launch_register_mean_time_global,1093
user_activity_rate_global,995
user_author_num_global,986
user_activity_register_max_time_global,940
user_app_launch_gap,937
user_activity_day_rate_global,929
user_activity_gap_global,896
user_activity_frequency_global,812
user_activity_register_mean_time_global,736
user_activity_var,730
device_type_register,725
user_video_num_global,702
user_author_num,695
user_activity_register_max_time,668
user_activity_frequency,641
register_type_rate,573
user_video_num,560
user_activity_rate,528
user_activity_register_mean_time,500
user_activity_day_rate,493
user_activity_gap,433
register_type_device,310
user_activity_register_min_time,252
user_page_num_global,242
user_action_type_num_global,193
user_action_type_num,189
user_video_create_rate_global,181
user_page_num,151
user_video_create_frequency_global,122
user_activity_register_min_time_global,98
user_video_create_var_global,81
user_video_create_var,68
user_video_create_register_mean_time_global,62
user_video_create_register_max_time_global,57
user_video_create_rate,56
user_video_create_day_global,43
user_video_create_gap_global,41
user_video_create_register_min_time,35
user_video_create_register_min_time_global,34
user_video_create_day,34
user_video_create_register_max_time,33
user_video_create_register_mean_time,28
user_video_create_gap,20
user_video_create_gap.1,3
feature importance of catboost for kuaishou-aup,2018-06-02_21-16
user_app_launch_register_max_time_global,19.559212571330608
user_app_launch_rate_global,19.424939215784374
user_app_launch_register_max_time,12.495335410849323
user_app_launch_register_mean_time,9.165456940286305
user_app_launch_var_global,8.797333596365837
user_app_launch_rate,7.509349575638567
register_day_rate,6.429016144616669
user_app_launch_gap_global,5.448746477934592
user_app_launch_gap,1.3850627803097346
user_activity_var_global,1.1978506661251145
user_activity_register_max_time_global,0.7942258093776194
user_activity_gap_global,0.7863728159092923
user_app_launch_var,0.7056208437217943
register_type_rate,0.6115357052094068
device_type_rate,0.5871589154498775
user_activity_day_rate_global,0.4742335847137635
user_activity_day_rate,0.42129628869059627
register_type_device,0.3816685873763272
user_activity_register_max_time,0.32255565139821074
user_author_num_global,0.3089101889250029
user_activity_var,0.30506927912304815
user_activity_rate_global,0.27329451269281235
user_author_num,0.26769747221678214
user_activity_register_mean_time_global,0.2601108796423697
user_activity_register_mean_time,0.24939784348888655
user_activity_gap,0.21770751434703933
user_activity_frequency_global,0.2067103168284788
user_video_num_global,0.19733067453136813
device_type_register,0.17928805853737603
user_activity_rate,0.1560432926979539
user_video_num,0.15310969327495907
user_activity_frequency,0.14766766358052708
user_action_type_num_global,0.1179623769264797
user_action_type_num,0.09406537190499688
user_page_num,0.07501740674515027
user_page_num_global,0.0711477838140563
user_video_create_var_global,0.038405654914478136
user_video_create_gap_global,0.03324156962865149
user_activity_register_min_time,0.02469585912706167
user_video_create_register_max_time_global,0.024288141341577325
user_activity_register_min_time_global,0.019643065500122864
user_video_create_frequency_global,0.018298620758643372
user_video_create_gap,0.010470019383851113
user_video_create_register_mean_time_global,0.008186057984183983
user_video_create_register_min_time_global,0.008052433227389424
user_video_create_rate_global,0.007983658308895566
user_video_create_day,0.007782014064926994
user_video_create_var,0.007673768808186772
user_video_create_day_global,0.005858739056821387
user_video_create_rate,0.00580457194178048
user_video_create_register_max_time,0.0007618195200295443
user_video_create_register_mean_time,0.0006997494098718917
user_video_create_register_min_time,0.0006523466581950562
user_video_create_gap.1,0.0
user_app_launch_register_mean_time_global,0.0
feature importance of catboost for tencent-crt,2018-06-02_22-23
user_app_launch_register_max_time_global,1472
register_day_rate,1151
user_app_launch_rate_global,978
user_app_launch_register_max_time,928
user_app_launch_var_global,887
user_app_launch_rate,459
user_app_launch_register_mean_time,444
user_app_launch_gap_global,356
user_app_launch_register_mean_time_global,302
user_activity_register_max_time_global,169
user_activity_day_rate_global,154
register_type_rate,151
user_activity_register_min_time,142
user_activity_var_global,121
user_activity_register_mean_time_global,115
device_type_rate,112
user_activity_register_mean_time,107
user_activity_register_max_time,106
user_activity_frequency_global,99
user_activity_gap_global,80
user_app_launch_gap,77
user_activity_day_rate,76
user_author_num_global,74
user_app_launch_var,70
register_type_device,61
user_activity_var,53
user_activity_rate_global,53
user_activity_frequency,53
user_author_num,52
device_type_register,44
user_video_num_global,41
user_activity_rate,36
user_video_num,33
user_activity_gap,30
user_video_create_var_global,20
user_video_create_gap_global,20
user_page_num_global,16
user_video_create_frequency_global,13
user_page_num,7
user_action_type_num_global,7
user_video_create_rate,5
user_action_type_num,4
user_video_create_var,3
user_video_create_register_mean_time_global,3
user_activity_register_min_time_global,3
user_video_create_register_min_time_global,2
user_video_create_register_max_time_global,2
user_video_create_rate_global,2
user_video_create_gap,2
user_video_create_register_min_time,1
user_video_create_register_mean_time,1
user_video_create_register_max_time,1
user_video_create_gap,1
user_video_create_day,1
user_video_create_day_global,0
feature importance of catboost for tencent-crt ,2018-06-03_00-34
best score,0.7970014990844998,best params
boosting_type,gbdt
n_estimators,400
num_leaves,24
device_type_rate,754
user_activity_var,632
user_author_num,583
user_app_launch_gap,582
user_video_num,562
user_activity_rate,547
user_app_launch_var,533
user_activity_frequency,524
register_type_rate,434
user_app_launch_rate,412
user_app_launch_register_max_time,382
user_activity_day_rate,362
user_activity_register_max_time,307
user_activity_gap,288
